name,type,date,time,place,price,send_date,views
Концерт гурту «Львівський танцювальний клуб»,концерт,2022/10/26,19:30-,"Довгі бурхливі оплески, вул. Січових стрільців 3",0 грн,2022-10-25 17:45:41+00:00,541
Цикл лекцій про діяльність об‘єднання митців «Відкрита група»,лекція,2022/10/27,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-25 11:36:43+00:00,543
Лекція «Незалежний театр до і під час війни»,лекція,2022/10/25,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-24 18:22:38+00:00,535
Лекція «Прийняти кітч: візуальний бунт у міському просторі»,лекція,2022/10/24,18:00-,"ХША, вул. Кубійовича 35а",0 грн,2022-10-24 11:06:29+00:00,891
Лекція «Sneakermate до та під час війни»,лекція,2022/10/24,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-23 18:00:07+00:00,577
BlahoChill Fest,фестиваль,2022/10/23,-,"!FESTrepublic, вул. Старознесенська 24",500 грн,2022-10-23 11:38:22+00:00,579
Графіті джем Street Culture,гра,2022/10/22-2022/10/31,-,"Urban Camp, вул. Патона 6",0 грн,2022-10-22 22:28:44+00:00,631
Кінопоказ документального фільму «Культура в тилу»,кіно,2022/10/22,19:30-,"Lviv Film Center, вул. В. Великого 14А",донат,2022-10-22 11:57:29+00:00,599
Благодійний івент «Це не сон»,виставка,2022/10/22,12:00-22:00,вул. Яблонської 31,200-300 грн,2022-10-21 17:04:56+00:00,604
Благодійний івент 4.5.0 Vibes,вечірка,2022/10/22,-21:00,"Дзиґа, вул. Вірменська 35",200 грн,2022-10-21 12:04:02+00:00,608
Квартирник у 31 Art space,вечірка,2022/10/21,19:00-,"31 Art space, вул. Яблонської 31",будь-яка купюра,2022-10-20 22:43:19+00:00,648
Благодійний хіп-хоп jam,вечірка,2022/10/23,-23:59,"Клуб151, вул. Яблонської 31",250-300 грн,2022-10-20 17:47:02+00:00,639
Благодійний івент 4.5.0 Vibes,вечірка,2022/10/22,-,"Дзиґа, вул. Вірменська 35",200 грн,2022-10-19 17:59:32+00:00,747
Благодійний івент «Це не сон»,виставка,2022/10/22,-,вул. Яблонської 31,200-300 грн,2022-10-18 19:25:07+00:00,684
Кінопоказ документального фільму «Культура в тилу»,кіно,2022/10/22,19:30-,"Lviv Film Center, вул. В. Великого 14А",донат,2022-10-17 20:56:11+00:00,755
Кінопоказ документального фільму «High Landz»,кіно,2022/10/21,-,"Планета Кіно, ТРЦ КінгКрос Леополіс",донат,2022-10-16 21:58:06+00:00,801
"Виставка Сергія Якуніна ""Шелест""",виставка,2022/10/20-2022/12/01,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-15 20:05:05+00:00,763
Виставка «Херсонщина - це Україна»,виставка,2022/10/14-2022/10/28,-,"Порохова вежа, вул. Підвальна 4",100 грн,2022-10-14 13:22:13+00:00,763
"Лекція «Реп у Харкові, як дзеркало становлення сучасної України»",лекція,2022/10/17,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-13 22:40:58+00:00,738
Благодійний концерт Alice Change + Структура Щастя,концерт,2022/10/15,-,"Клуб151, вул. Яблонської 31",300 грн,2022-10-12 22:44:00+00:00,728
Unity Jam,вечірка,2022/10/15,-,"Promiselove, вул. Промислова 21",250-300 грн,2022-10-11 18:38:59+00:00,711
Лекція про принцип колаборації в проектній роботі,лекція,2022/10/13,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-10 18:00:12+00:00,731
Лекція «Донбас як індустріальний рай»,лекція,2022/10/10,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-09 18:09:01+00:00,723
Благодійний івент «Ламана»,вечірка,2022/10/09,-,"Ґанок, вул. Яблонської 31",250 грн,2022-10-08 19:08:38+00:00,674
Концерт Миколи Лебедя та Евеліни Стебельської,концерт,2022/10/09,-,"Мистецький Центр, вул. Стефаника 11",донат,2022-10-08 12:52:38+00:00,937
Презентація альбому та кліпу Izi Surf | Trillium,презентація,2022/10/09,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",200 грн,2022-10-07 20:56:00+00:00,620
Янголи Києва,вечірка,2022/10/08,--,"Ґанок, вул. Яблонської 31",250-400 грн,2022-10-07 12:40:05+00:00,608
Selllectra Anniversary,вечірка,2022/10/08,--,secret place,400-450 грн,2022-10-06 20:05:54+00:00,624
Джазовий Гай,фестиваль,2022/10/08,-,"Шевченківський Гай, вул. Чернеча Гора 1",400 грн,2022-10-06 12:58:07+00:00,659
Зовнішні землі,виставка,2022/10/08,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-10-05 17:56:02+00:00,609
слухаємо колекцію вінілів Андрія Шимановського,концерт,2022/10/07,-,"ДК NAZVA, вул. Яблонської 31",100-200 грн,2022-10-04 17:50:05+00:00,674
Виставка “ПРО ХаРКІВ”,виставка,2022/10/06-2022/10/31,00:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-04 14:34:05+00:00,710
Слухаємо колекцію вінілів Христини Соломахи,квест,2022/10/05,19:00-,"ДК NAZVA, вул. Яблонської 31",100-200 грн,2022-10-03 18:19:00+00:00,963
Лекція+екскурсія Романа Бордуна,лекція,2022/10/05,00:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-10-02 18:00:05+00:00,892
Благодійний концерт у стінах «Травня»,концерт,2022/10/02,--,"Травень, вул. Пекарська 1ц",150 грн,2022-10-01 15:24:02+00:00,858
Трейлер документального фільму «Культура в тилу»,кіно,2022/10/22,-,secret place,0 грн,2022-09-29 22:06:17+00:00,753
Благодійна вечірка Лаконіка х Найт Амбасадорс,вечірка,2022/01/10,-,"Ґанок, вул. Яблонської 31",350 грн,2022-09-29 18:23:34+00:00,1998
Дискусія «Психологічний бар’єр у зйомці незнайомих людей»,Дебати,2022/09/28,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-09-26 18:00:06+00:00,818
Виставка Реактивація,виставка,2022/09/27-2022/10/10,-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-09-25 18:00:05+00:00,952
Sunday Bazaarr,Фестиваль,2022/09/25,12:00-21:00,"Стрийський парк, Русалки place",0 грн,2022-09-24 18:00:06+00:00,754
культура на закинутих будівлях,лекція,2022/09/25,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-09-24 12:05:46+00:00,715
Kickit 3th Anniversary,концерт,2022/09/24,-,"Ґанок, вул. Яблонської 31",300 грн,2022-09-23 19:24:02+00:00,635
День Народження Клуб151,вечірка,2022/09/23,18:00-,"Клуб151, вул. Яблонської 31",300 грн,2022-09-22 18:33:09+00:00,600
Tar - перший сольний концерт,концерт,2022/09/24,20:00-,"ДК Nazva, вул. Софії Яблонської 31",200-300 грн,2022-09-21 18:00:09+00:00,599
Проєкт “War Viems” Владислав Рябоштан,виставка,2022/09/20,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-09-20 20:59:56+00:00,592
Виставка Андрій Роїк. Голос,виставка,2022/09/18-2022/10/23,-,"Виставкові зали ХММ Олени Кульчицької, вул. Листопадового Чину 7",20-40 грн,2022-09-19 22:50:52+00:00,581
Виставка онлайн-архіву персональних історій 14-8-22,виставка,2022/09/09-2022/10/06,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-09-19 18:00:08+00:00,559
Благодійний концерт Ujif_notfound TER.RAIN + electronic jam session,концерт,2022/09/18,-,"Jam Factory, вул. Механічна 5",200 грн,2022-09-18 18:00:08+00:00,543
Спільні кінопокази з Довженко-Центром: «Поема про море»,кіно,2022/09/18,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-09-17 18:00:03+00:00,570
Helpful Vibes,вечірка,2022/09/17,16:00-21:30,"!FESTrepublic, вул. Старознесенська 24",250 грн,2022-09-16 18:00:11+00:00,557
Відкриття закладу Довгі бурхливі оплески,вечірка,2022/09/16-2022/09/18,-,"Довгі бурхливі оплески, вул. Січових стрільців 3",100-150 грн,2022-09-15 19:57:07+00:00,596
Благодійна вечірка Void,вечірка,2022/09/17,-,secret place,400-450 грн,2022-09-14 21:39:23+00:00,590
Презентація 4 серії «Великого кінного походу по Поліссю» від Хащі,презентація,2022/09/16,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-09-13 22:09:21+00:00,830
Джем+Dvir благодійний хіп-хоп івент,концерт,2022/09/17,-,"Ґанок, вул. Заводська 31",200-300 грн,2022-09-12 14:27:45+00:00,1299
Легкий освітник з Альтернативною Кавою,лекція,2022/09/13,-19:00,"ДК Nazva, вул. Заводська 31",100-150 грн,2022-09-11 21:24:45+00:00,706
Дуже Аванґардний Літературник,літвечір,2022/09/12,-,"Дзиґа, вул. Вірменська 35",донат,2022-09-10 18:34:37+00:00,667
День українського кіно :: спадщина ::,кіно,2022/09/10-2022/09/12,-,Lviv Film Center / Палац Хоткевича,0 грн,2022-09-09 20:42:05+00:00,619
Latexfauna,концерт,2022/09/11,-21:00,"!FESTrepublic, вул. Старознесенська 24",600 грн,2022-09-08 18:00:07+00:00,597
Renie Cares | Promsonya,концерт,2022/09/10,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",300 грн,2022-09-07 20:02:22+00:00,619
Polygon Lviv,вечірка,2022/09/10,-,"Клуб151, вул. Заводська 31",300-400 грн,2022-09-06 13:44:26+00:00,617
Молодвіж 4.5.0.,фестиваль,2022/09/10,-,secret place,0 грн,2022-09-05 21:26:14+00:00,5787
Стоп-Земля,кіно,2022/09/08,-,"Стрийський парк, Русалки place",0 грн,2022-09-04 18:00:08+00:00,645
Уродини Марека,фестиваль,2022/09/06,18:00-,Закапелок Маркіяна Іващишина,0 грн,2022-09-03 18:00:08+00:00,638
Слухаємо колекцію вінілів Паліндром в ДК Nazva,віступ,2022/09/08,-,"ДК Nazva, вул. Заводська 31",100-200 грн,2022-09-02 17:34:24+00:00,589
Благодійна вечірка Bass Sisters,вечірка,2022/09/04,16:00-21:30,"Ґанок, вул. Заводська 31",250 грн,2022-09-01 20:09:01+00:00,584
Екскурсія виставкою «Зустріч»,виставка,2022/08/03,-,"Світло, вул. Валова 19",донат,2022-08-31 20:01:30+00:00,541
Doordom party 2.0,вечірка,2022/09/03,-,"Клуб151, вул. Заводська 31",250-300 грн,2022-08-30 13:20:24+00:00,567
запис подкасту від радіо Скорбота,виступ,2022/09/03,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-08-29 20:28:25+00:00,753
Херсон inside/outside,виставка,2022/09/02,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-08-28 20:33:23+00:00,585
Ґрунт,фестиваль,2022/08/28,15:00-,"Порохова вежа, вул. Підвальна 4",200 грн,2022-08-27 15:02:51+00:00,732
Night Ambassadors,вечірка,2022/08/27,-,"Kivsh, вул. Шевченка 120",донат,2022-08-26 17:33:56+00:00,589
Dvir Незалежний,вечірка,2022/08/27,18:00-,"Котельня Ruїn bar, вул. Заводська 31",200-250 грн,2022-08-25 16:39:36+00:00,828
Кінопоказ «Електросестри»,кіно,2022/08/25-2022/08/28,-21:30,"Планета Кіно, ТЦ Форум Львів",130 грн,2022-08-24 14:41:27+00:00,562
Зустріч з засновницею онлайн-медіа Свідомі,-,2022/08/25,19:00-,"Стрийський парк, Русалки place",0 грн,2022-08-23 18:00:08+00:00,517
Лекція «Мистецтво розбитих сердець»,лекція,2022/08/23,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-08-22 18:00:08+00:00,527
Виставка «Зустріч»,виставка,2022/08/23,-,"Світло, вул. Валова 19",0 грн,2022-08-21 17:57:40+00:00,497
Вінтажний маркет Тлум&Крам для ЗСУ,ярмарок,2022/08/21,-,"Lem Station, вул. Вітовського 57",донат,2022-08-20 15:45:34+00:00,487
Sunday Bazaarr,ярмарок,2022/08/21,12:00-21:00,"Парк Франка, головна алея",0 грн,2022-08-20 10:48:07+00:00,479
Зберегти Довженко-Центр!,кіно,2022/08/21,-16:00,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-08-19 20:49:53+00:00,573
Благодійний концерт ТНМК «Війна світів»,концерт,2022/08/20,-,"!FESTrepublic, вул. Старознесенська 24",500 грн,2022-08-18 18:49:37+00:00,408
Лекція про колаборації брендів від співзасновника Sneaker Mate,лекція,2022/08/19,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-08-18 14:33:19+00:00,400
BlahoChill,фестиваль,2022/08/21,-,"вулиця Хуторівка, 35а",400-500 грн,2022-08-17 11:49:35+00:00,448
Laboratory 4.5.0,вечірка,2022/08/20,-,"Дикий Дім, вул. Староєврейська 22",200 грн,2022-08-16 21:29:26+00:00,435
Деганські історії,вистава,2022/08/19,-,"!FESTrepublic, вул. Старознесенська 24",350 грн,2022-08-15 18:00:07+00:00,435
Запис подкасту від радіо Скорбота «Щось Живе»,-,2022/08/19,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-08-15 12:45:25+00:00,620
Виставка рисунків Олекси Новаківського,виставка,2022/08/19,13:00-18:00,"Галерея Львівського органного залу, вул. Бандери 8",0 грн,2022-08-14 17:17:37+00:00,445
Легкий освітник з Юліаном Чаплінським,лекція,2022/08/17,19:00-,"ДК Nazva, вул. Заводська 31",200 грн,2022-08-13 17:48:55+00:00,604
Мистецтво наближає перемогу,фестиваль,2022/08/14-2022/08/17,-10:00-,"!FESTrepublic, вул. Старознесенська 24",донат,2022-08-12 18:00:11+00:00,417
Viнil club diggers day,виставка,2022/08/13-2022/08/14,-10:00-,"Golka Records, вул. Костюшка 18",донат,2022-08-12 12:19:04+00:00,436
Helpful Vibes,вечірка,2022/08/13,16:00-21:30,"Ґанок, вул. Заводська 31",250 грн,2022-08-11 11:40:56+00:00,432
Вечірка Птаха,вечірка,2022/08/13,-22:00,secret place,450 грн,2022-08-10 22:41:20+00:00,436
Презентація колаборації Wander Dossier W Buro 22,презентація,2022/08/12,-,"Sneaker Mate, вул. Дудаєва 19",0 грн,2022-08-10 11:27:48+00:00,446
Екскурсія від Ukrainian Modernism,виставка,2022/08/14,-,Львів,300 грн,2022-08-09 18:00:14+00:00,449
Літературний відкритий мікрофон,виступ,2022/08/11,18:30-,"МолодвіжЦентр, вул. Чайковського 31",0 грн,2022-08-09 12:08:08+00:00,426
Пункт прийому компромату,стендап,2022/08/10,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-08-08 18:00:09+00:00,590
Виставка «Гопакує Чорнобай»,виставка,2022/08/10,-,"Я Галарея, вул. Шота Руставелі 8",50 грн,2022-08-07 14:08:40+00:00,449
Проєкт «Скрижалі люті»,виставка,2022/08/10-2022/08/30,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-08-06 22:10:18+00:00,408
Благодійний івент на Ґанку,вечірка,2022/08/07,16:00-,"Ґанок, вул. Заводська 31",250 грн,2022-08-05 19:26:58+00:00,409
Повидло,концерт,2022/08/05,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-08-04 21:32:07+00:00,459
Благодійний івент на Ґанку,вечірка,2022/08/05,18:00-,"Ґанок, вул. Заводська 31",200 грн,2022-08-04 18:27:20+00:00,739
Благодійний фестиваль LvivHipHopAllstar,фестиваль,2022/08/13,- - -,"Сквер «На валах», вул. Підвальна 4",0 грн,2022-08-03 13:47:09+00:00,553
Благодійна вечірка «Для Янголів»,вечірка,2022/08/06,-,"Національний музей імені А.Шептицького, вул.Драгоманова 42",250 грн,2022-08-02 14:30:20+00:00,463
Літературний вечір в ДК Nazva,вечірка,2022/08/03,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-08-01 17:58:58+00:00,447
В Укритті #22: Все до чаю | Кайзер | Натрій хлорид,концерт,2022/08/05,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",150 грн,2022-07-31 23:04:14+00:00,1110
Кінопоказ «Білий птах з білою ознакою»,кіно,2022/08/04-2022/08/10,-,"Планета Кіно, ТЦ Форум Львів",130 грн,2022-07-31 11:15:35+00:00,524
Ярмарок крафту й арту для ЗСУ,фестиваль,2022/08/07,12:00-19:00,"Стрийський парк, Русалки place",0 грн,2022-07-30 22:03:10+00:00,416
Благодійний музичний лайв на Jam Factory,концерт,2022/08/07,20:00-,"Jam Factory, вул. Механічна 5",250 грн,2022-07-30 15:27:51+00:00,400
Виставка “Давайте залишимо це на кращі часи”,виставка,2022/08/05-2022/10/05,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-07-29 20:30:17+00:00,392
Виставка «Жінки та війна»,виставка,-,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-07-29 14:03:39+00:00,400
Kickit Cypher,вечірка,2022/07/31,-,"Ґанок, вул. Заводська 31",300 грн,2022-07-28 21:49:25+00:00,386
Shelter Festival,фестиваль,2022/07/30,-,Парк Франка,0 грн,2022-07-28 14:39:13+00:00,394
4.5.0.Party,вечірка,2022/07/30,-,"Клуб151, вул. Заводська 31",150-200 грн,2022-07-27 18:34:46+00:00,433
Коріння,виставка,2022/07/27-2022/08/10,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-07-27 12:31:32+00:00,398
Легкий освітник: Українська культура у світовому контексті,лекція,2022/07/27,-13:00,"ДК Nazva, вул. Заводська 31",донат,2022-07-26 19:54:57+00:00,594
Дім,виставка,2022/06/26-2022/08/21,-,"Зелена канапа, вул. Вірменська 7",0 грн,2022-07-26 15:16:34+00:00,402
Укритті #19: ТУЧА| Ship Her Son DJ SET,концерт,2022/07/29,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",200-300 грн,2022-07-25 22:55:42+00:00,962
Виставка Марії Примаченко «Дарую Україні!»,виставка,2022/07/27,-,"Національний музей, пр. Свободи 20",50 грн,2022-07-25 14:02:19+00:00,514
Вечірка на Ганку,вечірка,2022/07/30,14:00-22:00,"Ґанок, вул. Заводська 31",250-300 грн,2022-07-24 18:00:08+00:00,1233
Концерт у стінах «Травня»,концерт,2022/07/25,-,"Травень, вул. Пекарська 1ц",100 грн,2022-07-24 14:17:14+00:00,396
Сліпі вікна,виставка,2022/07/15-2022/07/31,-,"Світло, вул. Валова 19",0 грн,2022-07-23 22:31:43+00:00,389
Легкий Освітник з Neivanmade,лекція,2022/07/24,-,"ДК Nazva, вул. Заводська 31",донат,2022-07-23 11:59:42+00:00,564
Artist Talk з Максимом Дондюком,лекція,2022/07/24,18:30-,"Я Галарея, вул. Шота Руставелі 8",50 грн,2022-07-22 20:48:19+00:00,391
Гаражний розпродаж для ЗСУ ІІІ,вечірка,2022/07/24,-,"Lem Station, вул. Вітовського 57",донат,2022-07-22 14:53:56+00:00,358
Спешл івент Fresh Black x Kava bez nazvy,вечірка,2022/07/23,-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-07-21 15:41:25+00:00,403
Олд-скульний реп в ДК Nazva,концерт,2022/07/23,-19:00-,"ДК Nazva, вул. Заводська 31",100-200 грн,2022-07-20 18:00:09+00:00,582
Літературний віршатник,вечірка,2022/07/22,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-07-20 12:48:42+00:00,487
Лекція Слави Балбек «Архітектура під час війни»,лекція,2022/07/23,--,"Порохова вежа, вул. Підвальна 4",200 грн,2022-07-19 21:34:13+00:00,430
Літературний вечір в ДК Nazva,літвечір,2022/07/20,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-07-19 13:59:26+00:00,560
Благодійний концерт Kurs Valüt | Ship Her Son,концерт,2022/07/24,-,"Нижній Зал в Театрі Ляльок, пл. Д. Галицького 1",250-300 грн,2022-07-18 19:24:42+00:00,4670
II Аукціон бойових трофеїв та мистецтва,аукціон,2022/07/24,17:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-07-18 14:33:00+00:00,512
Легкий Освітник з автором «Загіну Кіноманів»,кіно,2022/07/22,-20:00,"ДК Nazva, вул. Заводська 31",200 грн,2022-07-17 15:15:08+00:00,3545
Благодійний концерт Krutь,концерт,2022/07/17,18:00-,"!FESTrepublic, вул. Старознесенська 24",480-700 грн,2022-07-16 23:14:29+00:00,411
Благодійний Sunday Bazaarr,фестиваль,2022/07/17,12:00-21:00,"Парк Франка, головна алея",донат,2022-07-15 19:14:17+00:00,423
Влипни,вечірка,2022/07/16,-,"Драбина студія, вул. Зелена 20",150 грн,2022-07-14 18:00:10+00:00,427
Ex Libris,виставка,2022/07/15,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-07-13 18:58:06+00:00,410
Паб Депресія від Радіо Скорбота,вечірка,2022/07/13,-,"ДК Nazva, вул. Заводська 31",донат,2022-07-11 18:00:06+00:00,408
Ярмарок крафту й арту для ЗСУ,фестиваль,2022/07/10,12:00-20:00,"Стрийський парк, Русалки place",0 грн,2022-07-09 18:00:13+00:00,483
Благодійний хіп-хоп івент Doordom party,концерт,2022/07/09,-,"Клуб151, вул. Заводська 31",200 грн,2022-07-08 22:53:23+00:00,450
Благодійний концерт у Пороховій,концерт,2022/07/09,-19:00,"Порохова вежа, вул. Підвальна 4",150-200 грн,2022-07-08 18:00:10+00:00,363
Вечірка Dzvin Спецвипуск#1 & Solid,вечірка,2022/07/09-2022/07/10,16:00-21:30,"Ґанок, вул. Заводська 31",250-400 грн,2022-07-08 12:37:20+00:00,357
Лекція “How it was gone. BRAVERY CAMPAIGN”,лекція,2022/07/08,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-07-07 22:57:22+00:00,356
Сергій Жадан: літературні читання,лекція,2022/07/08,-19:00,"!FESTrepublic, вул. Старознесенська 24",250 грн,2022-07-06 18:00:05+00:00,424
Виставка «Relocation»,виставка,2022/07/07,16:00-,"PM Gallery, вул. Коперника 17",0 грн,2022-07-05 18:16:11+00:00,402
Джазові імпровізації від ДК Nazva на Ganok,концерт,2022/07/08,19:00-,"Ґанок, вул. Заводська 31",донат,2022-07-04 20:07:07+00:00,597
"Лекція: Пропаганда, Третій Райх і московити",лекція,2022/07/07,-18:30,"ДК Nazva, вул. Заводська 31",200 грн,2022-07-03 19:17:00+00:00,580
Вінтажний маркет Тлум&Крам для ЗСУ,-,2022/07/03,11:00-,"Lem Station, вул. Вітовського 57",донат,2022-07-02 18:00:03+00:00,2795
Вечірка Welcome to the jungle & Disco Sunday,вечірка,2022/07/02-2022/07/03,-,"Ґанок, вул. Заводська 31",250-400 грн,2022-07-01 14:27:29+00:00,404
Виставка року 2022. Ідея. (Матерія.) Архітектура,виставка,2022/07/01-2022/08/01,-,"ЛНАМ, вул. Кубійовича 35а",0 грн,2022-06-30 20:07:43+00:00,387
Благодійний showcase лейблу PLAN,концерт,2022/07/02,19:00-,"ДК Nazva, вул. Заводська 31",від 200 грн,2022-06-29 18:00:03+00:00,548
Агрегатні стани поезії,вечірка,2022/06/30,19:00-,"ДК Nazva, вул. Заводська 31",донат,2022-06-28 18:00:04+00:00,536
Виставка «Сучасний український ландшафт»,виставка,2022/06/29-2022/08/07,-,"Я Галарея, вул. Шота Руставелі 8",50 грн,2022-06-27 18:00:04+00:00,366
Виставка “Харків – Залізобетон”,виставка,2022/07/07,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-26 19:06:37+00:00,346
Презентація документальних відео-есе «The street I need»,презентація,2022/06/26,18:30-,"!FESTrepublic, вул. Старознесенська 24",0 грн,2022-06-25 14:45:04+00:00,379
Вечірка Vtixa b2b Ganok,вечірка,2022/06/25-2022/06/26,15:00-,"Ґанок, вул. Заводська 31",200-300 грн,2022-06-24 21:48:55+00:00,353
Lemberg street floorball,фестиваль,2022/06/25,-,"Сквер «На валах», вул. Підвальна 4",0 грн,2022-06-24 17:55:34+00:00,710
Гаражний розпродаж для ЗСУ II,фестиваль,2022/06/25,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-23 19:06:25+00:00,3075
Фотовиставка «Карпатські пастухи»,виставка,2022/06/23-2022/07/12,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-06-22 18:00:04+00:00,390
Розмова «Чому важливо робити та поширювати постери під час війни»,квест,2022/06/22,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-21 14:13:10+00:00,401
День скейтбордингу,фестиваль,2022/06/21,13:00-,пам‘ятник Степану Бандери,0 грн,2022-06-20 23:42:50+00:00,770
Свято Музики у Львові 2022,фестиваль,2022/06/21,-,різні локації Львова,0 грн,2022-06-20 19:39:58+00:00,642
Фестиваль Avangard | Dvir | Playground - «ТРИ»,фестиваль,2022/06/19,14:00-02:00,"!FESTrepublic, вул. Старознесенська 24",300 грн,2022-06-18 18:34:08+00:00,379
Джем сансет,вечірка,2022/06/18,-,"!FESTrepublic, вул. Старознесенська 24",200-250 грн,2022-06-17 16:25:24+00:00,815
Благодійний Sunday Bazaarr,вечірка,2022/06/19,-,"Парк Франка, головна алея",0 грн,2022-06-16 18:33:46+00:00,493
Благодійна стрім-вечірка Save Ukraine #2,вечірка,2022/06/18,14:00-,"Collab Promo, вул.Жовківська 14",150 грн,2022-06-15 13:47:53+00:00,430
Ярмарок крафту й арту для ЗСУ,фестиваль,2022/06/18,12:00-19:00,"Стрийський парк, Русалки place",0 грн,2022-06-14 18:00:03+00:00,429
Розмова з Bob Basset,виставка,2022/06/16,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-13 18:00:05+00:00,428
"""Музи не мовчать""",виставка,2022/06/15,18:00-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-06-12 18:32:33+00:00,440
Легкий освітник: Твоя Підпільна Гуманітарка,лекція,2022/06/14,-,"ДК Nazva, вул. Заводська 31",200 грн,2022-06-11 18:00:04+00:00,641
Благодійні вечірки на Ганку,вечірка,2022/06/11-2022/06/12,16:00-,"Ганок, вул. Заводська 31",200-300 грн,2022-06-10 20:50:05+00:00,448
Кепські читання,вистава,2022/06/11,-18:00,вул. Заводська 31,200 грн,2022-06-09 21:05:49+00:00,1252
Благодійний івент Джем сансет,вечірка,2022/06/18,-,"!FESTrepublic, вул. Старознесенська 24",200-250 грн,2022-06-08 18:00:04+00:00,408
Проект «Під час»,виставка,2022/06/10-2022/06/19,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-06-07 18:25:42+00:00,418
Розмова з Мікаель Колвілл-Андерсен про Львів і його майбутні зміни,лекція,2022/06/07,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-06 18:00:05+00:00,390
Фестиваль Файне Місто,фестиваль,2022/06/10-2022/06/12,-,"!FESTrepublic, вул. Старознесенська 24",350-700 грн,2022-06-05 18:00:05+00:00,433
Гаражний розпродаж для ЗСУ,-,2022/06/05,12:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-06-04 14:54:32+00:00,584
Благодійна вечірка Revoir,вечірка,2022/06/05,-,"Порохова вежа, вул. Підвальна 4",200 грн,2022-06-03 17:07:02+00:00,383
Вечірка Yellow-Blue,вечірка,2022/06/04,16:00-,"Котельня Ruїn bar, вул. Заводська 31",300 грн,2022-06-02 20:50:14+00:00,373
Благодійна вечірка dance2help,вечірка,2022/06/03,18:00-,"Порохова вежа, вул. Підвальна 4",200 грн,2022-06-02 15:39:42+00:00,361
Фестиваль Avangard | Dvir | Playground - «ТРИ»,фестиваль,2022/06/19,-,"!FESTrepublic, вул. Старознесенська 24",200-300 грн,2022-05-31 22:37:10+00:00,581
Аукціон бойових трофеїв і мистецтва,аукціон,2022/06/02,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-05-30 18:00:05+00:00,385
БуквоRock: Літературна рок-музика у Львові,лекція,2022/05/31,19:00-,"ДК NAZVA, вул. Заводська 31",150-200 грн,2022-05-29 20:13:42+00:00,444
Благодійна стрім-вечірка Vatra Tride X Collab Promo,вечірка,2022/05/29,13:00-,"Collab Promo, вул.Жовківська 14",100 грн,2022-05-28 18:38:58+00:00,446
